Game_ID,Season,Week,Date,IsInternational,Elo_Diff,Diff_Pts_rollingavg3,Diff_PtsO_rollingavg3,Diff_Tot_rollingavg3,Diff_Opp_Tot_rollingavg3,Diff_Points Per Drive_rollingavg3,Diff_Yds Per Drive_rollingavg3,Diff_Pts per Play_rollingavg3,Diff_Y/P_rollingavg3,Diff_Opp_Y/P_rollingavg3,Diff_TO_rollingavg3,Diff_Opp_TO_rollingavg3,Diff_ToP_Minutes_rollingavg3,Diff_Opp_ToP_Minutes_rollingavg3,Diff_Turnover Diff_rollingavg3,Diff_Turnover Percentage_rollingavg3,Diff_Defensive TO Percentage_rollingavg3,Diff_Pts Per Min of Poss_rollingavg3,Diff_Yds per Min of Poss_rollingavg3,Diff_ToP Ratio_rollingavg3,Diff_Def Pts Allowed Per Min of Poss_rollingavg3,Diff_Def Yds Allowed Per Min of Poss_rollingavg3,Diff_3DConv_rollingavg3,Diff_4DConv_rollingavg3,Diff_3D Success_rollingavg3,Diff_4D Success_rollingavg3,Diff_3d Stop Rate_rollingavg3,Diff_4d Stop Rate_rollingavg3,Diff_Sk Rate_rollingavg3,OffPtsPerDrive_vs_DefPtsPerPoss,Off3DSuccess_vs_Def3DStop,Off4DSuccess_vs_Def4DStop,OffTORate_vs_DefTORate,Total_Offensive_Efficiency_Diff,Total_Defensive_Efficiency_Diff,H_Season_Weight,spread_target,total_target,win_target
2012_W17_clt_vs_htx,2012,17,2012-12-30,0,-99.69853416029218,4.9999999999999964,-5.666666666666661,-32.666666666666686,81.33333333333337,0.5181818181818183,-2.6999999999999993,0.07833688110281373,-0.5533333333333337,1.4433333333333334,0.0,0.6666666666666667,-0.5222222222222292,0.5222222222222364,0.6666666666666666,-0.0020549466954046004,0.0108604162214983,0.20718385783924265,-0.6614631398364246,-0.008703703703703713,-0.19150003953746442,2.3625138415584814,0.3333333333333335,0.0,0.024031524031523976,0.0,0.05891608391608383,0.0,-0.025165376240644993,1.2478592212124076,-0.3472222222222223,-0.3333333333333333,0.0004758067610605987,0.014395121983766116,0.023258833379194044,0.2824295364810001,12,44,1
2013_W01_clt_vs_rai,2013,1,2013-09-08,0,112.02475781820067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31381059609,4,38,1
2013_W02_clt_vs_mia,2013,2,2013-09-15,0,41.342904408564664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31381059609,-4,44,0
2013_W05_clt_vs_sea,2013,5,2013-10-06,0,-62.92672492092538,-4.333333333333336,-2.0,60.666666666666686,-30.333333333333314,0.12847707847707923,12.130069930069933,-0.09104831616411657,0.5066666666666668,0.3766666666666678,-1.0,-1.6666666666666665,0.8388888888888815,-4.733333333333338,-0.6666666666666667,-0.016814872000152498,-0.023047250156018197,-0.1628137560794043,1.574135262140862,0.04277556037786201,-0.00325369211144394,0.8582133464962958,2.0,-0.6666666666666666,0.13936202686202692,-0.5,0.009421950598421103,0.3333333333333333,0.038482352005129505,2.383209693352102,-0.25549091431444376,-0.3333333333333333,-0.0498033556857087,0.18136514299320983,0.10656934459191207,0.31381059609,6,62,1
2013_W07_clt_vs_den,2013,7,2013-10-20,0,-81.62729287240768,-19.333333333333332,-12.333333333333332,-125.0,-110.66666666666669,-2.0727272727272723,-12.644444444444439,-0.21374805147475417,-0.7933333333333348,-1.9966666666666661,-0.3333333333333335,0.3333333333333335,-2.6444444444444493,2.644444444444442,0.6666666666666666,-0.00039946681611740045,0.006733416900889397,-0.5751618479129624,-2.9164085631782353,-0.044074074074074154,-0.5314288558689937,-5.17971658065205,-2.0,-0.3333333333333333,-0.20363247863247863,-0.3333333333333333,0.22510822510822504,0.22222222222222227,-0.001794054213409002,1.663788364455164,-0.07710622710622711,-0.3333333333333333,0.0010821099436122972,-1.0266028858451204,0.15135462141044556,0.31381059609,6,72,1
2013_W10_clt_vs_ram,2013,10,2013-11-10,0,170.34416724880475,10.0,1.3333333333333286,-34.666666666666686,168.66666666666669,0.479857397504456,-6.913606654783127,0.17232244614145537,0.08999999999999986,1.2966666666666677,-1.6666666666666665,0.33333333333333337,-6.866666666666671,6.866666666666664,2.0,-0.024361379527471902,0.0027696683883524,0.4475870354173794,1.4354879566455239,-0.11444444444444452,-0.08208062817935335,3.415916158429578,-1.0000000000000004,0.0,-0.08254686489980612,0.0,-0.08456589706589701,0.3333333333333333,-0.1722345503858109,1.0588744285044953,-0.40360543595837717,0.0,0.0007103183765618006,0.24739328121530377,0.08384570155192957,0.31381059609,-30,46,0
2013_W13_clt_vs_oti,2013,13,2013-12-01,0,75.8739805606067,-9.333333333333336,9.0,-39.0,63.0,-0.6178571428571427,-0.6199735449735471,-0.15001938039460372,-0.5933333333333337,1.0966666666666658,0.33333333333333326,-0.6666666666666666,-3.0277777777777715,3.027777777777775,-1.0,0.004994736878794901,-0.0117925284591952,-0.2763941869256734,-0.20149131895875172,-0.05046296296296299,0.20223091283518457,0.8078342430950922,-4.333333333333333,0.0,-0.21458171458171454,0.0,-0.16686091686091692,0.3333333333333333,0.03905445982105021,0.8923596682760447,-0.3252136752136752,0.0,0.0061892214066127,-0.45373661886169336,0.05155996267107373,0.31381059609,8,36,1
2013_W15_clt_vs_htx,2013,15,2013-12-15,0,192.17906923639384,1.3333333333333286,7.333333333333332,-39.0,40.0,-0.10698653198653241,-5.7317340067340155,0.05230348121959283,-0.03666666666666707,-0.006666666666667709,-0.6666666666666666,1.0,-5.466666666666672,5.466666666666672,1.6666666666666665,-0.0083940539172043,0.0131871001436219,0.20038564262172154,1.158079071437836,-0.09111111111111109,0.04096338705907476,-0.6503839671765412,-2.333333333333334,0.0,-0.1309664192017133,0.1666666666666667,-0.09528478057889822,0.0,-0.0251140851269221,1.0175777233507846,-0.36231774761186525,0.3333333333333333,0.006606032272231399,-0.030449905811202216,-0.02736589347842544,0.31381059609,22,28,1
2013_W17_clt_vs_jax,2013,17,2013-12-29,0,220.78730152893536,4.333333333333329,-4.9999999999999964,54.333333333333314,-54.0,0.27385392385392393,2.259265734265739,0.04411938767458379,0.5633333333333326,0.14999999999999947,-1.3333333333333335,0.0,5.788888888888891,-5.788888888888888,1.3333333333333333,-0.019535553860496598,0.007291132472057801,0.04305799092662044,0.2814005549802001,0.0964814814814815,-0.13587604284626265,0.3771025789111775,-0.33333333333333304,0.0,-0.05651755651755658,0.2222222222222222,0.04254650578179986,0.08333333333333331,-0.012518977529119499,1.5871693688114252,-0.3306016423663483,0.08333333333333331,-0.0173278847638585,0.29376888162061343,0.044390323862396996,0.31381059609,20,40,1
2014_W02_clt_vs_phi,2014,2,2014-09-15,0,-6.152057052812779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3486784401000001,-3,57,0
